Cust ,Broker,Side ,Symbol ,Test,ExecutedQty  ,AvgPrc ,Settle ,GrossMoney  ,NetMoney  ,TotalComm  ,TotalFees  ,TradeDate ,SettleDate ,Route
GS,RAJA,Buy,FIS,31620M106,"9,797",61.3704,USD,"601,245.81","601,539.72",293.91,0,10/29/2025,10/30/2025,RAJA-CARE-US
MSCO,RAJA,Buy,FIS,31620M106,"12,319",61.3704,USD,"756,021.96","756,391.53",369.57,0,10/29/2025,10/30/2025,RAJA-CARE-US
SSB,RAJA,Buy,FIS,31620M106,"1,810",61.3704,USD,"111,080.42","111,134.72",54.3,0,10/29/2025,10/30/2025,RAJA-CARE-US
UBS,RAJA,Buy,FIS,31620M106,"1,074",61.3704,USD,"65,911.81","65,944.03",32.22,0,10/29/2025,10/30/2025,RAJA-CARE-US
GS,RAJA,Buy,FIS,31620M106,"9,805",60.5043,USD,"593,244.66","593,538.81",294.15,0,10/29/2025,10/30/2025,RAJA-CARE-US
MSCO,RAJA,Buy,FIS,31620M106,"12,315",60.5043,USD,"745,110.45","745,479.90",369.45,0,10/29/2025,10/30/2025,RAJA-CARE-US
SSB,RAJA,Buy,FIS,31620M106,"1,806",60.5043,USD,"109,270.77","109,324.95",54.18,0,10/29/2025,10/30/2025,RAJA-CARE-US
UBS,RAJA,Buy,FIS,31620M106,"1,074",60.5043,USD,"64,981.62","65,013.84",32.22,0,10/29/2025,10/30/2025,RAJA-CARE-US
GS,RAJA,Buy,FIS,31620M106,"9,784",60.6969,USD,"593,858.47","594,151.99",293.52,0,10/29/2025,10/30/2025,RAJA-CARE-US
MSCO,RAJA,Buy,FIS,31620M106,"12,326",60.6969,USD,"748,149.99","748,519.77",369.78,0,10/29/2025,10/30/2025,RAJA-CARE-US
SSB,RAJA,Buy,FIS,31620M106,"1,814",60.6969,USD,"110,104.18","110,158.60",54.42,0,10/29/2025,10/30/2025,RAJA-CARE-US
UBS,RAJA,Buy,FIS,31620M106,"1,076",60.6969,USD,"65,309.86","65,342.14",32.28,0,10/29/2025,10/30/2025,RAJA-CARE-US
MSCO,RAJA,Buy,TCBK,896095106,"1,200",44.4996,USD,"53,399.52","53,435.52",36,0,10/29/2025,10/30/2025,RAJA-CARE-US
GS,RAJA,Buy,FIS,31620M106,"4,717",60.9447,USD,"287,476.15","287,617.66",141.51,0,10/29/2025,10/30/2025,RAJA-CARE-US
MSCO,RAJA,Buy,FIS,31620M107,"5,943",60.9447,USD,"362,194.35","362,372.64",178.29,0,10/29/2025,10/30/2025,RAJA-CARE-US
SSB,RAJA,Buy,FIS,31620M108,873,60.9447,USD,"53,204.72","53,230.91",26.19,0,10/29/2025,10/30/2025,RAJA-CARE-US
UBS,RAJA,Buy,FIS,31620M109,519,60.9447,USD,"31,630.30","31,645.87",15.57,0,10/29/2025,10/30/2025,RAJA-CARE-US
GS,RAJA,Buy,TCBK,896095106,"1,200",44.4996,USD,"53,399.52","53,435.52",36,0,10/29/2025,10/30/2025,RAJA-CARE-US
